Algorithm,Strategy,Best Val NDCG@20,Test NDCG@20,Test Precision@20,Final Train Time (s),Best Params
ALS_factors=100,power_lift,0.26594519138426603,0.337177574180048,0.3688551741635989,10.815067768096924,{'p': 0.35035165551041647}
ALS_factors=100,sigmoid_propensity,0.25996168721898627,0.33395461839921675,0.36620597358317103,10.792080402374268,"{'p': 1.5152466760045404, 'beta': 0.9959842331492136}"
ALS_factors=100,no_weighting,0.25279458876934735,0.32498706266646943,0.3578378513832147,10.774874210357666,{}
ALS_factors=100,pmi,0.25730942264788265,0.3239097485118945,0.3467531826820748,10.830424308776855,{}
ALS_factors=100,robust_user_centric,0.2548784057696829,0.3229055057933964,0.35496468646166884,10.681851148605347,{'scale_factor': 9.729574967756513}
ALS_factors=100,power,0.25482650335398516,0.321246319127682,0.35375324298016664,10.82245135307312,{'power_p': 1.305569938241399}
ALS_factors=100,tfidf,0.25643860126145884,0.31889823762808733,0.34970387372170003,10.81106424331665,{}
ALS_factors=100,confidence,0.25582380831933416,0.31720762002797465,0.34732483991639707,10.843456506729126,{'conf_alpha': 1.281009213528539}
ALS_factors=100,bm25,0.24988660226468715,0.30993823865925146,0.3447696103881866,10.824065685272217,"{'bm25_k1': 172.20254865698615, 'bm25_b': 0.3362128349551038}"
ALS_factors=100,log,0.23192368355761553,0.30704636392069906,0.3425174375033771,10.828904390335083,{}
ALS_factors=10,power_lift,0.21239044870122,0.2611417824203862,0.29439407857076294,4.179333448410034,{'p': 0.1357755456412932}
ALS_factors=10,power,0.2116771962322772,0.2602611013028166,0.2941035514009909,4.196109056472778,{'power_p': 0.2003463817123427}
ALS_factors=10,log,0.2116911582939094,0.2601434932272204,0.29392500640177793,4.190023422241211,{}
ALS_factors=10,sigmoid_propensity,0.21108029628949992,0.2595796870497041,0.29290698666942316,4.200628995895386,"{'p': 0.1512926098170857, 'beta': 0.0006086148730472616}"
ALS_factors=10,robust_user_centric_weight_v2,0.20997750825627418,0.2586672788264705,0.29227424825115955,4.182021379470825,"{'lower_q': 5.152840969132274, 'upper_q': 79.44451306449722}"
ALS_factors=10,robust_user_centric,0.21042585661195828,0.25860148621491663,0.29225310476441063,4.174238204956055,{'scale_factor': 2.3991870281994956}
ALS_factors=10,pmi,0.208702257107758,0.2543831282661705,0.2802757110672057,4.194969415664673,{}
ALS_factors=10,no_weighting,0.2077362353361567,0.2537672408149273,0.2888443048452258,4.160440444946289,{}
ALS_factors=100,robust_user_centric_weight_v2,0.18991969766337138,0.2530531291398084,0.2898411810908316,10.695724487304688,"{'lower_q': 44.0876925435152, 'upper_q': 77.55967876755476}"
ALS_factors=10,bm25,0.20292763343505626,0.24722275510240554,0.28093585770903273,4.207790851593018,"{'bm25_k1': 789.4936413291072, 'bm25_b': 0.6412531115079463}"
ALS_factors=10,confidence,0.20161969316525202,0.24591973046131796,0.28140023132540687,4.206970453262329,{'conf_alpha': 1.0918012120990586}
ALS_factors=10,tfidf,0.19962967931942496,0.2437696776372834,0.28024203810682785,4.218611001968384,{}
ALS_factors=10,normalized,0.17004916262741435,0.21632185651163954,0.23321814048515688,4.201287746429443,{}
ALS_factors=100,normalized,0.11909927656735733,0.1463738758559808,0.18458812096267077,10.829148292541504,{}
