Dataset,Algorithm,Strategy,Best Params,Final Weighting Time (s)
movielens_100k,KNN_k=100,sigmoid_propensity,"{'p': 0.38460969962417735, 'beta': 0.8661761457749352}",0.0014537811279296876
steam,ALS_factors=100,power_lift,{'p': 0.37512124004563385},1.2924245834350585
steam,ALS_factors=100,bm25,"{'bm25_k1': 3.464734272938415, 'bm25_b': 0.9732576342003244}",1.672970676422119
steam,ALS_factors=100,pmi,{},1.878061580657959
steam,ALS_factors=100,log_idf,{'conf_alpha': 1.4332196930253005},1.3233680248260498
steam,ALS_factors=100,tfidf,{},1.2224797248840331
steam,ALS_factors=100,power,{'power_p': 0.7138199050943289},1.0022507667541505
steam,ALS_factors=100,robust_user_centric,{},6.834853076934815
steam,ALS_factors=100,no_weighting,{},3.814697265625e-06
steam,ALS_factors=100,log,{},0.931715440750122
steam,ALS_factors=100,normalized,{},1.3732744216918946
steam,ALS_factors=100,sigmoid_propensity,"{'p': 1.5858657064573796, 'beta': 0.8474099285584786}",0.7174718856811524
steam,KNN_k=100,log_idf,{'conf_alpha': 54.954464354080116},1.3174532890319823
steam,KNN_k=100,robust_user_centric,{},6.827095699310303
steam,KNN_k=100,power_lift,{'p': 0.259185148987678},1.2897342205047608
steam,KNN_k=100,bm25,"{'bm25_k1': 47.35533899208951, 'bm25_b': 0.324875829819255}",1.668489360809326
steam,KNN_k=100,power,{'power_p': 0.2540575635986686},1.0019045352935791
steam,KNN_k=100,log,{},0.9287199974060059
steam,KNN_k=100,pmi,{},1.8875389575958252
steam,KNN_k=100,tfidf,{},1.223978042602539
steam,KNN_k=100,no_weighting,{},3.4332275390625e-06
steam,KNN_k=100,normalized,{},1.3683051586151123
steam,KNN_k=100,sigmoid_propensity,"{'p': 3.153823758518224, 'beta': 0.7672450596109225}",0.7015043735504151
taste_profile,ALS_factors=100,pmi,{},2.093256139755249
taste_profile,ALS_factors=100,power_lift,{'p': 0.281002380481669},0.9721977233886718
taste_profile,ALS_factors=100,log_idf,{'conf_alpha': 3.665509628784722},1.5112592220306396
taste_profile,ALS_factors=100,tfidf,{},1.397125768661499
taste_profile,ALS_factors=100,sigmoid_propensity,"{'p': 1.2708492740699449, 'beta': 0.9510209971452145}",0.9794439792633056
taste_profile,ALS_factors=100,robust_user_centric,{},3.5459717750549316
taste_profile,ALS_factors=100,bm25,"{'bm25_k1': 315.9103178875338, 'bm25_b': 0.9834918183879116}",1.9050984382629395
taste_profile,ALS_factors=100,no_weighting,{},3.7670135498046877e-06
taste_profile,ALS_factors=100,power,{'power_p': 1.1242434273794637},0.9987085342407227
taste_profile,ALS_factors=100,log,{},0.9003826141357422
taste_profile,ALS_factors=100,normalized,{},1.3734870433807373
taste_profile,KNN_k=100,power_lift,{'p': 0.37159397236982294},0.9822751522064209
taste_profile,KNN_k=100,bm25,"{'bm25_k1': 20.68243584637287, 'bm25_b': 0.9699098521619943}",1.9027629852294923
taste_profile,KNN_k=100,pmi,{},2.0886038303375245
taste_profile,KNN_k=100,normalized,{},1.3623573780059814
taste_profile,KNN_k=100,power,{'power_p': 0.18131705703547923},0.9908244132995605
taste_profile,KNN_k=100,sigmoid_propensity,"{'p': 0.38460969962417735, 'beta': 0.8661761457749352}",0.964728832244873
taste_profile,KNN_k=100,robust_user_centric,{},3.531270217895508
taste_profile,KNN_k=100,log_idf,{'conf_alpha': 9.65445821306172},1.520524501800537
taste_profile,KNN_k=100,log,{},0.904796028137207
taste_profile,KNN_k=100,tfidf,{},1.4023967266082764
taste_profile,KNN_k=100,no_weighting,{},3.337860107421875e-06
