dataset               , model        , metric    , n_seeds, rel_diff_seed_%     , t_pvalue              , wilcoxon_pvalue, n_users_total, rel_diff_user_%     , ci_lo_pool             , ci_hi_pool             , p_boot_pool, cohens_d_pool         , seeds_sig_pos, seeds_sig_neg
amazon-digital-music  , IA-SASRec-Add, mrr@10    ,       5, 1.7764618800888279  , 0.08256829674577346   ,          0.125 ,         27705, 1.7936757241727448  , -0.00013609693110234534, 0.0021090671845950676  ,      0.098 , 0.009736361204808055  ,             0,             0
amazon-digital-music  , IA-SASRec-Add, mrr@100   ,       5, 0.7434944237918257  , 0.23219738893167882   ,          0.3125,         27705, 0.7821812955159377  , -0.0005377092876853257 , 0.0015663111162882712  ,      0.375 , 0.005348433019667583  ,             0,             0
amazon-digital-music  , IA-SASRec-Add, mrr@20    ,       5, 1.0803511141120845  , 0.09930068321372679   ,          0.1875,         27705, 1.0273159268954455  , -0.00044382381997642946, 0.001707742436800603   ,      0.296 , 0.0063160420353286185 ,             0,             0
amazon-digital-music  , IA-SASRec-Add, mrr@50    ,       5, 0.8574150523975912  , 0.1781979899174474    ,          0.3125,         27705, 0.8679129864427513  , -0.0004919859752191207 , 0.0016321058124581535  ,      0.336 , 0.005765166485525002  ,             0,             0
amazon-digital-music  , IA-SASRec-Add, ndcg@10   ,       5, -1.1619634811477293 , 0.2432044682912751    ,          0.4375,         27705, -1.1371331065137844 , -0.0023563456409534233 , 0.0005074367909354309  ,      0.176 , -0.007893891623627707 ,             0,             1
amazon-digital-music  , IA-SASRec-Add, ndcg@100  ,       5, -2.3480662983425438 , 0.011023606642687327  ,          0.0625,         27705, -2.3390870793537704 , -0.00456997400900816   , -0.0021851401160415135 ,      0.0005, -0.032581963409778175 ,             0,             3
amazon-digital-music  , IA-SASRec-Add, ndcg@20   ,       5, -2.1256038647343014 , 0.013917602720914002  ,          0.0625,         27705, -2.121174579768411  , -0.0034501430500293822 , -0.0008799795803018134 ,      0.002 , -0.01889422589660605  ,             0,             1
amazon-digital-music  , IA-SASRec-Add, ndcg@50   ,       5, -2.3145961265942314 , 0.02478438706525939   ,          0.0625,         27705, -2.3043761793629445 , -0.00416816550601662   , -0.0017075345674034716 ,      0.0005, -0.026660956782832784 ,             0,             3
amazon-digital-music  , IA-SASRec-Add, recall@10 ,       5, -3.877238968982092  , 0.02997324844904172   ,          0.125 ,         27705, -3.8635915631776077 , -0.01032304638151958   , -0.0037538350478253024 ,      0.0005, -0.025914914850806423 ,             0,             3
amazon-digital-music  , IA-SASRec-Add, recall@100,       5, -3.894400262359596  , 0.006342378935979184  ,          0.0625,         27705, -3.898794111119331  , -0.02317361487096192   , -0.014870961920231004  ,      0.0005, -0.0533722582679284   ,             0,             4
amazon-digital-music  , IA-SASRec-Add, recall@20 ,       5, -4.5531717857694085 , 0.008647146904467705  ,          0.0625,         27705, -4.554317548746519  , -0.015232809962100705  , -0.008157372315466522  ,      0.0005, -0.03819763456161141  ,             0,             4
amazon-digital-music  , IA-SASRec-Add, recall@50 ,       5, -4.28873611845585   , 0.009093491020090426  ,          0.0625,         27705, -4.2851689253674365 , -0.02014076881429345   , -0.012272153040967335  ,      0.0005, -0.04680343191978925  ,             0,             3
amazon-digital-music  , IA-SASRec-Mul, mrr@10    ,       5, -2.5906735751295287 , 0.06773363426429224   ,          0.125 ,         27705, -2.560984921596117  , -0.0024123356766155898 , -0.00028556675633015693,      0.013 , -0.014827055098354086 ,             0,             1
amazon-digital-music  , IA-SASRec-Mul, mrr@100   ,       5, -2.602230483271377  , 0.038401921149095235  ,          0.125 ,         27705, -2.5941054128291183 , -0.0026114165718342857 , -0.0006319170831882437 ,      0.0005, -0.0190421426926148   ,             0,             1
amazon-digital-music  , IA-SASRec-Mul, mrr@20    ,       5, -2.802160702228225  , 0.04883541367816666   ,          0.125 ,         27705, -2.831006680618501  , -0.002663301279633659  , -0.0006190152602839024 ,      0.0005, -0.018659796214157857 ,             0,             1
amazon-digital-music  , IA-SASRec-Mul, mrr@50    ,       5, -2.540489044140991  , 0.04424450605490902   ,          0.125 ,         27705, -2.5431319339238834 , -0.002545494342409039  , -0.0005654204121841037 ,      0.0005, -0.018129509794056618 ,             0,             1
amazon-digital-music  , IA-SASRec-Mul, ndcg@10   ,       5, -2.7033436092008487 , 0.012208438223916221  ,          0.0625,         27705, -2.71911469867441   , -0.0036197228828454067 , -0.0008547738936108942 ,      0.0005, -0.019555937803741305 ,             0,             1
amazon-digital-music  , IA-SASRec-Mul, ndcg@100  ,       5, -2.596685082872926  , 0.000446771116684973  ,          0.0625,         27705, -2.6070568368547895 , -0.004896330073058028  , -0.0025823180213369167 ,      0.0005, -0.03783579689616125  ,             0,             5
amazon-digital-music  , IA-SASRec-Mul, ndcg@20   ,       5, -3.26570048309179   , 0.006105761518817105  ,          0.0625,         27705, -3.2712476607743546 , -0.004636502525758331  , -0.0020279505748165643 ,      0.0005, -0.030465849477868633 ,             0,             3
amazon-digital-music  , IA-SASRec-Mul, ndcg@50   ,       5, -2.3775783341206025 , 0.005261306356546079  ,          0.0625,         27705, -2.382464841699812  , -0.004183790289868537  , -0.00180527566443833   ,      0.0005, -0.028713099412223643 ,             0,             3
amazon-digital-music  , IA-SASRec-Mul, recall@10 ,       5, -2.9270423765836657 , 0.02146511938119645   ,          0.0625,         27705, -2.9174058742361524 , -0.008554412560909583  , -0.002237863201588161  ,      0.001 , -0.019856145014293197 ,             0,             2
amazon-digital-music  , IA-SASRec-Mul, recall@100,       5, -2.5867016479462155 , 0.0012058666378137646 ,          0.0625,         27705, -2.589331952356292  , -0.016748781808337845  , -0.008698790831979787  ,      0.0005, -0.035554731152290055 ,             0,             3
amazon-digital-music  , IA-SASRec-Mul, recall@20 ,       5, -3.750578793023615  , 0.006651003164797309  ,          0.0625,         27705, -3.7465181058495824 , -0.01321061180292366   , -0.006099981952716116  ,      0.0005, -0.03221636582455659  ,             0,             4
amazon-digital-music  , IA-SASRec-Mul, recall@50 ,       5, -2.15758857747224   , 0.029127422866446324  ,          0.0625,         27705, -2.1569001717885095 , -0.012056487998556218  , -0.00440353726764122   ,      0.0005, -0.023721339463685275 ,             0,             2
amazon-digital-music  , IA-SASRec-Val, mrr@10    ,       5, 3.6639526276832     , 0.12858218785216283   ,          0.125 ,         27705, 3.6607390941928317  , 0.000886175350847793   , 0.003153570569176957   ,      0.0005, 0.021182162095186582  ,             2,             0
amazon-digital-music  , IA-SASRec-Val, mrr@100   ,       5, 2.94299876084263    , 0.14579863981277022   ,          0.1875,         27705, 2.9618681506310103  , 0.0009020368800672603  , 0.003034407051135595   ,      0.0005, 0.021690429545409538  ,             2,             0
amazon-digital-music  , IA-SASRec-Val, mrr@20    ,       5, 3.106009453072249   , 0.16311075294556054   ,          0.1875,         27705, 3.138226508578766   , 0.0008012375027583358  , 0.002990534581051627   ,      0.002 , 0.020681273393114024  ,             2,             0
amazon-digital-music  , IA-SASRec-Val, mrr@50    ,       5, 3.112099079072727   , 0.13616002224413756   ,          0.125 ,         27705, 3.1114056076709544  , 0.0009467503950319091  , 0.003085793961043799   ,      0.0005, 0.02213017541072488   ,             2,             0
amazon-digital-music  , IA-SASRec-Val, ndcg@10   ,       5, 1.0433957789898067  , 0.48831692798030735   ,          0.625 ,         27705, 1.0479712779691766  , -0.00048325596076684405, 0.0023287706158564934  ,      0.203 , 0.007595970855501784  ,             1,             0
amazon-digital-music  , IA-SASRec-Val, ndcg@100  ,       5, 0.3591160220994463  , 0.695835402874516     ,          0.8125,         27705, 0.34651168835086604 , -0.0006013510379025163 , 0.0017265727855877851  ,      0.35  , 0.005084108202955426  ,             1,             1
amazon-digital-music  , IA-SASRec-Val, ndcg@20   ,       5, 0.4057971014492763  , 0.771849866814417     ,          1.0   ,         27705, 0.37556122433855826 , -0.0008102211017466166 , 0.0017269169128880395  ,      0.522 , 0.0035635066514355827 ,             1,             1
amazon-digital-music  , IA-SASRec-Val, ndcg@50   ,       5, 0.740040938434898   , 0.4375542667148224    ,          0.4375,         27705, 0.7492555854023896  , -0.0002448020594886197 , 0.002256518744814003   ,      0.12  , 0.00909751661181429   ,             1,             0
amazon-digital-music  , IA-SASRec-Val, recall@10 ,       5, -1.5290519877675854 , 0.182250968895122     ,          0.3125,         27705, -1.5178395426769171 , -0.005885219274499188  , 0.0005053239487457137  ,      0.099 , -0.010331652727412512 ,             0,             1
